Timestamp	Event Title	Event Date	Event Start Time	Event Location	Event End Time	Meet Time	Meet Location	Event Source	Missouri State Email Address (@live.missouristate.edu is not necessary)	Event Sponsor	Event Location (Address)	Meet Location (Address)	Event Description 	 [Row 1]
9/5/2016 15:05:40	Fruit Fest!	9/9/2016	11:00:00 AM	Strong Hall Front Stage	2:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	Strong Hall Outdoor Stage; 37°11'55.1"N 93°17'02.5"W		Enjoy the nice weather with a giant fruit giveaway!	
9/5/2016 15:08:35	Rock N Bowl	9/9/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:10:46	Hispanic Student Talk	9/13/2016	7:00:00 PM	West Ballroom (PSU)	9:30:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		A student led interactive, inclusive, and reflective discussion and open forum examining the challenges Hispanic Students face on campus and in society as whole.	
9/5/2016 15:12:26	Amazing Race	9/15/2016	9:00:00 PM	PSU	12:00:00 AM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Teams of 6 competing across campus.	
9/5/2016 15:16:59	Rock N Bowl	9/16/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:19:10	Fall Festival	9/22/2016	9:00:00 PM	North Mall	12:00:00 AM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	North Mall (Between Blair-Shannon House and Bookstore); 37°12'02.5"N 93°16'42.8"W		Celebrate the season of Fall with food and activities!	
9/5/2016 15:20:55	Rock N Bowl	9/23/2016	7:00:00 PM	Level 1 Game Center	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:23:18	Dodgeball Tournament	9/29/2016	9:00:00 PM	Foster Rec Center	12:00:00 AM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	945 E Madison St		Teams of 6 go head to head tournament style, with a $25 gift card for each member of the winning team. 	
9/5/2016 15:24:54	Rock N Bowl	9/30/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:28:35	Stress Shredding	10/3/2016	9:00:00 AM	PSU NE Lounge	5:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Write down your stresses and fears, and shred them. 	
9/5/2016 15:29:52	Stress Shredding	10/4/2016	9:00:00 AM	PSU NE Lounge	5:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Write down your stresses and fears, and shred them.	
9/5/2016 15:31:09	Stress Shredding	10/5/2016	9:00:00 AM	PSU NE Lounge	5:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Write down your stresses and fears, and shred them.	
9/5/2016 15:32:26	Stress Shredding	10/6/2016	9:00:00 AM	PSU NE Lounge	5:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Write down your stresses and fears, and shred them.	
9/5/2016 15:33:45	Stress Shredding	10/7/2016	9:00:00 AM	PSU NE Lounge	5:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Write down your stresses and fears, and shred them.	
9/5/2016 15:36:23	First Annual Comedy Competition	10/3/2016	7:00:00 PM	PSU Theater	9:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Student comedians come and compete for prizes. Contact SAC for information about auditions. 	
9/5/2016 15:38:34	Live Music Competition	10/6/2016	9:00:00 PM	PSU Grand Ballroom	12:00:00 AM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Musical artists and bands competing for prizes. 	
9/5/2016 15:41:05	Rock N Bowl	10/7/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:42:53	Rock N Bowl	10/14/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:44:30	Rock N Bowl	10/21/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
9/5/2016 15:46:14	Rock N Bowl	10/28/2016	7:00:00 PM	Level 1 Game Center (PSU)	10:00:00 PM			http://calendar.missouristate.edu/home/agenda?admittance=either&sponsors=St72&campus=s&timespan=future	Gillette353	Student Activities Council (SAC)	1110 E Madison St, Springfield, MO		Free bowling and good food themed for the night.	
